iter	RMSE
0	1.374396645
1	1.374056268
2	1.373715836
3	1.373308062
4	1.372937384
5	1.372622177
6	1.372367904
7	1.372134383
8	1.372044527
9	1.371893106
10	1.371613988
11	1.371294609
12	1.370971137
13	1.37063089
14	1.370191129
15	1.36991635
16	1.369381276
17	1.369120677
18	1.369026698
19	1.368760042
20	1.368545537
21	1.368454683
22	1.368272551
23	1.367846226
24	1.367734719
25	1.367533808
26	1.367324766
27	1.366820567
28	1.366663747
29	1.366464894
30	1.366212188
31	1.365763899
32	1.36555521
33	1.365172519
34	1.364880847
35	1.364546166
36	1.364197623
37	1.363960168
38	1.363851151
39	1.363650558
40	1.363399993
41	1.363043951
42	1.36263195
43	1.362329994
44	1.362168514
45	1.362019557
46	1.361774698
47	1.361510357
48	1.361126392
49	1.360855035
50	1.360520793
51	1.360405037
52	1.360136113
53	1.359925137
54	1.359805298
55	1.359395223
56	1.359118711
57	1.358867304
58	1.358627641
59	1.358478695
60	1.358110246
61	1.357840858
62	1.357586324
63	1.357298002
64	1.35702193
65	1.356841689
66	1.356677172
67	1.356468071
68	1.356147671
69	1.35600014
70	1.355733035
71	1.355607696
72	1.355523446
73	1.355333644
74	1.355226493
75	1.35503774
76	1.354814729
77	1.354359888
78	1.354163541
79	1.353975861
80	1.353605959
81	1.353360845
82	1.35323081
83	1.353104658
84	1.352922312
85	1.352718806
86	1.352514642
87	1.352272115
88	1.352061442
89	1.35186282
90	1.35147433
91	1.351335514
92	1.351105174
93	1.350968633
94	1.350779765
95	1.350557643
96	1.350400788
97	1.350174789
98	1.349817414
99	1.349660045
